Testing done with 1000 pedestrians  
For time 50 seconds at intervals of 0.1s
Thread Count;   CPU time(ms):      Wall clock time(ms): 
1, 51564.07 ,51564.60
1, 51264.26 ,51264.71
2, 63117.30 ,31561.09
3, 66546.48 ,22183.09
4, 69338.22 ,17333.80
5, 75338.93 ,15068.31
6, 78285.12 ,13047.75
7, 81421.48 ,11631.81
8, 84189.85 ,10523.88
9, 86579.65 ,9621.61
10, 88836.28 ,8883.91
11, 96162.35 ,8749.42
12, 96894.41 ,8079.90
13, 109284.38 ,8410.43
14, 110035.10 ,7865.15
15, 118492.16 ,7901.53
16, 122503.77 ,7662.76
17, 126214.08 ,7426.86
18, 128030.77 ,7116.40
19, 132028.92 ,6950.90
20, 134584.12 ,6730.07
21, 137711.83 ,6562.38
22, 139779.18 ,6358.68
23, 142912.86 ,6215.38
24, 143728.22 ,5993.42
25, 146771.41 ,5878.27
26, 149809.93 ,5771.34
27, 150645.02 ,5585.15
28, 162018.74 ,5840.81
