Testing done with 2000 pedestrians  
For time 1 seconds at intervals of 0.1s
Thread Count;   CPU time(ms):      Wall clock time(ms): 
1, 4209.98 ,4210.03
1, 4094.41 ,4094.50
2, 4677.45 ,2341.05
3, 5125.93 ,1710.92
4, 5356.82 ,1340.69
5, 5695.06 ,1139.79
6, 5920.00 ,984.53
7, 6020.02 ,861.35
8, 5855.11 ,733.78
9, 6112.89 ,677.59
10, 6396.94 ,639.17
11, 6329.24 ,575.87
12, 6475.86 ,542.18
13, 7164.94 ,550.34
14, 7440.37 ,531.07
15, 8334.64 ,557.01
16, 8505.41 ,532.79
17, 8763.69 ,515.75
18, 8988.60 ,497.60
19, 9120.75 ,482.00
20, 9427.51 ,473.04
21, 9648.61 ,457.20
22, 9767.08 ,446.37
23, 10013.42 ,433.24
24, 10265.74 ,427.79
25, 10197.51 ,409.28
26, 10491.87 ,401.67
27, 10471.25 ,388.23
28, 11044.59 ,396.66
