Testing done with 1000 pedestrians  
For time 1 seconds at intervals of 0.1s
Thread Count;   CPU time(ms):      Wall clock time(ms): 
1, 1027.25 ,1027.26
1, 1037.91 ,1037.92
2, 1258.08 ,630.12
3, 1315.96 ,438.18
4, 1379.02 ,347.57
5, 1512.71 ,300.86
6, 1606.71 ,267.75
7, 1680.11 ,240.98
8, 1820.82 ,226.88
9, 1798.93 ,199.78
10, 1879.65 ,188.34
11, 1934.58 ,175.72
12, 1970.27 ,167.19
13, 2125.30 ,162.65
14, 2234.47 ,159.28
15, 2395.74 ,161.30
16, 2489.37 ,155.15
17, 2579.84 ,152.91
18, 2657.00 ,146.37
19, 2731.44 ,143.68
20, 2795.36 ,139.32
21, 2854.02 ,137.72
22, 2897.57 ,130.94
23, 2941.02 ,129.03
24, 2969.83 ,122.62
25, 2997.47 ,120.53
26, 3112.43 ,118.35
27, 3025.91 ,114.81
28, 3341.48 ,118.76
