Testing done with 1000 pedestrians  
For time 10 seconds at intervals of 0.1s
Thread Count;   CPU time(ms):      Wall clock time(ms): 
1, 10504.18 ,10504.26
1, 10380.47 ,10380.58
2, 12356.24 ,6179.95
3, 13327.36 ,4442.97
4, 14059.44 ,3514.29
5, 15281.58 ,3058.85
6, 16267.77 ,2711.87
7, 17047.50 ,2435.65
8, 18107.14 ,2262.90
9, 18393.36 ,2044.11
10, 19236.17 ,1923.24
11, 20502.90 ,1865.35
12, 21308.28 ,1775.90
13, 22564.41 ,1736.32
14, 23046.04 ,1646.84
15, 24331.56 ,1622.38
16, 24869.67 ,1558.69
17, 25744.31 ,1512.55
18, 26192.44 ,1458.53
19, 26807.23 ,1412.19
20, 27175.07 ,1359.86
21, 27868.38 ,1328.33
22, 28388.06 ,1288.74
23, 29368.03 ,1280.86
24, 29440.65 ,1229.12
25, 29669.14 ,1186.85
26, 30350.91 ,1170.24
27, 31369.79 ,1162.40
28, 32565.42 ,1166.15
